gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
ORF22, ORF21, ORF20	E	8h	8	RK-13	0.0295613914587183	0.000129962362332002	0.00439635470182421	cluster_1
ORF22, ORF21, ORF20	E	12h	12	RK-13	0.0185546990109839	0.000561777945308418	0.0302768557428962	cluster_1
ORF22, ORF21, ORF20	E	18h	18	RK-13	0.00997192022616017	0.000152684658406997	0.0153114600743041	cluster_1
ORF22, ORF21, ORF20	E	24h	24	RK-13	0.00693724153249482	0.000423541823994302	0.0610533483677027	cluster_1
ORF22, ORF21, ORF20	E	48h	48	RK-13	0.00643383848886553	0.00010643725282533	0.0165433516880369	cluster_1
ORF22	L	1h	1	RK-13	0	0		cluster_2
ORF22	L	2h	2	RK-13	0.00359341093310026	0.000660931586788823	0.183928751566021	cluster_2
ORF22	L	4h	4	RK-13	0.00670971866330131	0.000789695714806757	0.117694310959114	cluster_2
ORF22	L	6h	6	RK-13	0.0122426172594956	0.000535854250004704	0.0437695828144171	cluster_2
ORF22	L	8h	8	RK-13	0.0141502320245737	0.00153211204891662	0.10827469445419	cluster_2
ORF22	L	12h	12	RK-13	0.0140332676855685	0.000538340566058159	0.0383617399824688	cluster_2
ORF22	L	18h	18	RK-13	0.0165732024411285	0.000299736382301858	0.0180856043583963	cluster_2
ORF22	L	24h	24	RK-13	0.0138330405324906	0.000633540812267292	0.0457991004059628	cluster_2
ORF22	L	48h	48	RK-13	0.014522451663228	0.000125798054910275	0.00866231527757846	cluster_2
ORF23	L	1h	1	RK-13	0	0		cluster_2
ORF23	L	2h	2	RK-13	0.000322941145062384	0.000180253335286247	0.558161566100308	cluster_2
ORF23	L	4h	4	RK-13	0.00163033051630956	0.00022318673005317	0.13689661563741	cluster_2
